epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.995757933637584,0.3281206210414214,1.8302170235639925,0.4044,0.2908342229937703
2,1.4552702986034562,0.553696541673673,1.4323248624042342,0.565,0.4333182211448986
3,1.2479054501963966,0.6442884367468191,1.2762827653034476,0.626,0.4946295418546759
4,1.1380249805270903,0.6886105038955216,1.2189728033011127,0.657,0.5184932312577604
5,1.0629110033070759,0.7173084468359396,1.1790320850481653,0.668,0.5337396789586994
6,1.012231089939509,0.7389440053808644,1.1087851945761662,0.7064,0.556126158091387
7,0.9708942191475766,0.7574827644190348,1.0837656147540755,0.714,0.576837046111449
8,0.9384428315208612,0.768931113726809,1.0852070245773169,0.7146,0.5659043607604911
9,0.9350312154745104,0.7698419371111485,1.0929847496330358,0.7086,0.5666581065291724
10,0.9230032103951872,0.7753349027520879,1.0788054872470296,0.718,0.5731418172551895
